Actividad,Cantidad de Casos
"Agricultura, Pecuaria y Explotación Forestal",913
Pesca,2
Industrias Extractivas,139
Industria de Transformación,10001
"Producción y Distribución Electricidad, Gas y Agua",849
Construcción,1550
"Comercio, Rep Vehículos Automotrices, Obj pers Dom",7575
Alojamiento y Alimentación,4005
"Transporte, Almacenamiento y Comunicaciones",1583
Intermediación Financiera,1086
Actividades Inmobiliarias con avaluos y serv prest,2473
"Administracion Publica, Defensa y Seguridad Social",2589
Educación,1925
Salud y Servicios Sociales,11396
Otros Servicios colectivos sociales y personales,1338
Servicios Domesticos,18
Organismos Internacionales y otras inst extraterri,8
Total:,47450
